id,name,weight,height
1,bulbasaur,69,7
2,ivysaur,130,10
3,venusaur,1000,20
4,charmander,85,6
5,charmeleon,190,11
6,charizard,905,17
7,squirtle,90,5
8,wartortle,225,10
9,blastoise,855,16
10,caterpie,29,3
11,metapod,99,7
12,butterfree,320,11
13,weedle,32,3
14,kakuna,100,6
15,beedrill,295,10
16,pidgey,18,3
17,pidgeotto,300,11
18,pidgeot,395,15
19,rattata,35,3
20,raticate,185,7
21,spearow,20,3
22,fearow,380,12
23,ekans,69,20
24,arbok,650,35
25,pikachu,60,4
26,raichu,300,8
27,sandshrew,120,6
28,sandslash,295,10
29,nidoran-f,70,4
30,nidorina,200,8
31,nidoqueen,600,13
32,nidoran-m,90,5
33,nidorino,195,9
34,nidoking,620,14
35,clefairy,75,6
36,clefable,400,13
37,vulpix,99,6
38,ninetales,199,11
39,jigglypuff,55,5
40,wigglytuff,120,10
41,zubat,75,8
42,golbat,550,16
43,oddish,54,5
44,gloom,86,8
45,vileplume,186,12
46,paras,54,3
47,parasect,295,10
48,venonat,300,10
49,venomoth,125,15
50,diglett,8,2
51,dugtrio,333,7
52,meowth,42,4
53,persian,320,10
54,psyduck,196,8
55,golduck,766,17
56,mankey,280,5
57,primeape,320,10
58,growlithe,190,7
59,arcanine,1550,19
60,poliwag,124,6
61,poliwhirl,200,10
62,poliwrath,540,13
63,abra,195,9
64,kadabra,565,13
65,alakazam,480,15
66,machop,195,8
67,machoke,705,15
68,machamp,1300,16
69,bellsprout,40,7
70,weepinbell,64,10
71,victreebel,155,17
72,tentacool,455,9
73,tentacruel,550,16
74,geodude,200,4
75,graveler,1050,10
76,golem,3000,14
77,ponyta,300,10
78,rapidash,950,17
79,slowpoke,360,12
80,slowbro,785,16
81,magnemite,60,3
82,magneton,600,10
83,farfetchd,150,8
84,doduo,392,14
85,dodrio,852,18
86,seel,900,11
87,dewgong,1200,17
88,grimer,300,9
89,muk,300,12
90,shellder,40,3
91,cloyster,1325,15
92,gastly,1,13
93,haunter,1,16
94,gengar,405,15
95,onix,2100,88
96,drowzee,324,10
97,hypno,756,16
98,krabby,65,4
99,kingler,600,13
100,voltorb,104,5
101,electrode,666,12
102,exeggcute,25,4
103,exeggutor,1200,20
104,cubone,65,4
105,marowak,450,10
106,hitmonlee,498,15
107,hitmonchan,502,14
108,lickitung,655,12
109,koffing,10,6
110,weezing,95,12
111,rhyhorn,1150,10
112,rhydon,1200,19
113,chansey,346,11
114,tangela,350,10
115,kangaskhan,800,22
116,horsea,80,4
117,seadra,250,12
118,goldeen,150,6
119,seaking,390,13
120,staryu,345,8
121,starmie,800,11
122,mr-mime,545,13
123,scyther,560,15
124,jynx,406,14
125,electabuzz,300,11
126,magmar,445,13
127,pinsir,550,15
128,tauros,884,14
129,magikarp,100,9
130,gyarados,2350,65
131,lapras,2200,25
132,ditto,40,3
133,eevee,65,3
134,vaporeon,290,10
135,jolteon,245,8
136,flareon,250,9
137,porygon,365,8
138,omanyte,75,4
139,omastar,350,10
140,kabuto,115,5
141,kabutops,405,13
142,aerodactyl,590,18
143,snorlax,4600,21
144,articuno,554,17
145,zapdos,526,16
146,moltres,600,20
147,dratini,33,18
148,dragonair,165,40
149,dragonite,2100,22
150,mewtwo,1220,20
151,mew,40,4
